test,type,imgA,imgB,width,height,pixels,result,time_sec,time_ctu,pixreads,pixwrites,lutreads,lutwrites,pixvalidations,stackops,queueops,peakstack,peakqueue,peakrecdepth
ImageIsEqual,deep_equal,chess64x128,copy,64,128,8192,1,0.000009,0.000005,16384,0,16384,0,8192,0,0,0,0,0
ImageIsEqual,rotated,chess64x128,rot180,64,128,8192,0,0.000000,0.000000,2,0,2,0,1,0,0,0,0,0
ImageIsEqual,size_diff,chess64x128,bigger,64,128,8192,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,palete64x128,palete64x128,64,128,8192,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,palete64x128,copy,64,128,8192,1,0.000007,0.000004,16384,0,16384,0,8192,0,0,0,0,0
ImageIsEqual,rotated,palete64x128,rot180,64,128,8192,0,0.000000,0.000000,2,0,2,0,1,0,0,0,0,0
ImageIsEqual,size_diff,palete64x128,bigger,64,128,8192,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,chess80x160,chess80x160,80,160,12800,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,chess80x160,copy,80,160,12800,1,0.000012,0.000007,25600,0,25600,0,12800,0,0,0,0,0
ImageIsEqual,rotated,chess80x160,rot180,80,160,12800,1,0.000011,0.000006,25600,0,25600,0,12800,0,0,0,0,0
ImageIsEqual,size_diff,chess80x160,bigger,80,160,12800,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,palete80x160,palete80x160,80,160,12800,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,palete80x160,copy,80,160,12800,1,0.000011,0.000006,25600,0,25600,0,12800,0,0,0,0,0
ImageIsEqual,rotated,palete80x160,rot180,80,160,12800,0,0.000001,0.000000,2,0,2,0,1,0,0,0,0,0
ImageIsEqual,size_diff,palete80x160,bigger,80,160,12800,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,chess96x192,chess96x192,96,192,18432,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,chess96x192,copy,96,192,18432,1,0.000015,0.000008,36864,0,36864,0,18432,0,0,0,0,0
ImageIsEqual,rotated,chess96x192,rot180,96,192,18432,0,0.000000,0.000000,2,0,2,0,1,0,0,0,0,0
ImageIsEqual,size_diff,chess96x192,bigger,96,192,18432,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
