Size,Pixels,PixComp,PixMem
32,1024,1024,2048
64,4096,4096,8192
100,10000,10000,20000
128,16384,16384,32768
150,22500,22500,45000
256,65536,65536,131072
64x128,8192,8192,16384
80x160,12800,12800,25600
96x192,18432,18432,36864
128x256,32768,32768,65536
192x256,49152,49152,98304
256x512,131072,131072,262144
